"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"93 years"	"93"	"Male"	"M"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	37	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Heart failure (I50)"	"GR113-067"	15824	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	19005	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	4272	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	20028	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Atherosclerosis (I70)"	"GR113-071"	1938	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	2584	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	1227	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	1357	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	343	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	13148	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Influenza (J09-J11)"	"GR113-077"	496	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Pneumonia (J12-J18)"	"GR113-078"	12652	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	41	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	31	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	10	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15095	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	126	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Emphysema (J43)"	"GR113-084"	864	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Asthma (J45-J46)"	"GR113-085"	173	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	13932	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Pneumoconioses and chemical effects (J60-J66,J68,U07.0)"	"GR113-087"	229	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	5347	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	3564	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Peptic ulcer (K25-K28)"	"GR113-090"	435	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Diseases of appendix (K35-K38)"	"GR113-091"	39	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Hernia (K40-K46)"	"GR113-092"	262	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	347	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Alcoholic liver disease (K70)"	"GR113-094"	54	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	293	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	514	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	7860	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	54	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	259	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Renal failure (N17-N19)"	"GR113-100"	7545	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other disorders of kidney (N25,N27)"	"GR113-101"	2	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	89	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Hyperplasia of prostate (N40)"	"GR113-103"	395	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	0	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	0	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	0	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	0	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	0	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	130	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	5131	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"All other diseases (Residual) "	"GR113-111"	38881	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	8378	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	625	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	607	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	9	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	9	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	7753	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Falls (W00-W19)"	"GR113-118"	5255	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	3	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	46	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	99	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	78	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	2272	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	699	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	529	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	170	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	37	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	8	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	29	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Legal intervention (Y35,Y89.0)"	"GR113-130"	0	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	32	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	0	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	32	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	1	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	218	Not Applicable	Not Applicable
	"93 years"	"93"	"Male"	"M"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	797	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	2029	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	49	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	38	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	11	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Whooping cough (A37)"	"GR113-007"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	3	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	6809	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	2	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Measles (B05)"	"GR113-014"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	68	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	7	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Malaria (B50-B54)"	"GR113-017"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	715	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	41395	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	526	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	446	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	1003	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	6716	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	893	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	2882	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	47	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	5497	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant melanoma of skin (C43)"	"GR113-028"	442	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasm of breast (C50)"	"GR113-029"	6343	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	205	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	1026	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	1292	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	837	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	1507	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	378	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	4839	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Hodgkin disease (C81)"	"GR113-038"	42	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	1818	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Leukemia (C91-C95)"	"GR113-040"	2182	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	782	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	15	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	6516	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	2708	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Anemias (D50-D64)"	"GR113-045"	1737	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	9359	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	2183	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Malnutrition (E40-E46)"	"GR113-048"	2061	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	122	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Meningitis (G00,G03)"	"GR113-050"	27	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Parkinson disease (G20-G21)"	"GR113-051"	3939	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Alzheimer disease (G30)"	"GR113-052"	52089	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	272168	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	200473	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	764	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Hypertensive heart disease (I11)"	"GR113-056"	11781	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	1642	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	116561	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	30829	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	908	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	84824	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	14982	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	69842	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other heart diseases (I26-I51)"	"GR113-064"	69725	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Acute and subacute endocarditis (I33)"	"GR113-065"	61	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	76	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Heart failure (I50)"	"GR113-067"	31724	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	37864	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	10625	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	51852	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Atherosclerosis (I70)"	"GR113-071"	4736	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	4482	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	1475	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	3007	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	855	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	21378	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Influenza (J09-J11)"	"GR113-077"	911	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Pneumonia (J12-J18)"	"GR113-078"	20467	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	139	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	99	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	40	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	20325	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	231	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Emphysema (J43)"	"GR113-084"	964	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Asthma (J45-J46)"	"GR113-085"	589	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	18541	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Pneumoconioses and chemical effects (J60-J66,J68,U07.0)"	"GR113-087"	12	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	5709	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	5565	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Peptic ulcer (K25-K28)"	"GR113-090"	764	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Diseases of appendix (K35-K38)"	"GR113-091"	60	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Hernia (K40-K46)"	"GR113-092"	576	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	365	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Alcoholic liver disease (K70)"	"GR113-094"	19	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	346	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	1081	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	10028	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	75	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	346	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Renal failure (N17-N19)"	"GR113-100"	9604	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other disorders of kidney (N25,N27)"	"GR113-101"	3	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	194	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Hyperplasia of prostate (N40)"	"GR113-103"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	45	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	1	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	1	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	192	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	13013	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"All other diseases (Residual) "	"GR113-111"	99769	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	13028	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	332	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	319	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	10	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	3	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	12696	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Falls (W00-W19)"	"GR113-118"	8484	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	0	Not Applicable	Not Applicable
	"94 years"	"94"	"Female"	"F"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	25	Not Applicable	Not Applicable
